彖	彑 bj
藉	艹日 lo
藐	艹儿 lp
藨	艹灬 lc
藩	艹田 lq
蘖	艹木 le
蘧	艹辶 lu
蘼	艹非 lr
虫	虫 cc
蚕	一虫 fc
蛊	虫皿 ca
蛑	虫牛 cq
蛮	亠虫 zc
蜎	虫⺝ cv
蜗	虫人 cj
蜜	宀虫 wc
蜣	虫乚 ca
蝇	虫黾 cd
蝘	虫女 cb
蝠	虫田 cq
蝥	予虫 ic
蝲	虫刂 cp
蝶	虫木 ce
螟	虫六 ca
螫	土虫 gc
螯	龶虫 ac
螽	夂虫 hc
蟀	虫十 cn
蟊	予虫 ic
蟾	虫言 cs
蠋	虫虫 cc
蠖	虫又 cr
蠲	虫 kc
蠼	虫又 cr
袂	衤人 tj
袭	龙衣 tt
裁	十衣 nt
裰	衤又 tr
褡	衤口 td
褥	衤寸 tk
褰	宀衣 wt
褶	衤白 tu
襜	衤言 ts
襞	尸衣 ct
觖	⺈人 xj
触	⺈虫 xc
觳	士殳 gr
詹	⺈言 xs
謇	宀言 ws
譬	尸言 cs
讯	讠十 sn
诀	讠人 sj
诌	讠彐 sb
谄	讠臼 sp
谔	讠ㄅ sa
谮	讠曰 so
谲	讠口 sd
谵	讠言 ss
谷	谷 hg
贝	贝 ob
贡	工贝 uo
责	龶贝 ao
败	贝攵 oh
贪	亽贝 jo
贰	弋贝 po
贵	贝 co
贾	覀贝 vo
赍	十贝 no
赓	广贝 xo
赔	贝口 od
赘	龶贝 ao
赙	贝寸 ok
赢	亡丶 fi
赣	音贝 xo
赦	土攵 gh
趋	走彐 pb
跞	⻊小 py
踣	⻊口 pd
蹇	宀足 wp
蹈	⻊臼 pp
蹙	戊足 np
蹦	⻊月 pv
蹩	㡀足 fp
蹰	⻊寸 pk
蹶	⻊欠 pe
蹽	⻊小 py
躅	⻊虫 pc
躔	⻊土 pg
躞	⻊又 pr
轹	小 yy
载	十 ny
辍	又 yr
辎	田 yq
辐	田 yq
辑	耳 yq
辜	古辛 cn
辞	舌辛 an
辩	辛 nn
辫	辛 nn
辱	辰寸 fk
逄	夂辶 hu
逡	厶辶 ku
遨	龶辶 au
遮	广辶 xu
遹	予辶 iu
避	尸辶 cu
邀	白辶 uu
邓	又阝 rt
邹	⺈阝 xt
郄	㐅阝 bt
部	立阝 it
鄂	口阝 dt
鄄	覀阝 vt
鄠	⻗阝 tt
酃	⻗阝 tt
酆	山阝 vt
酸	酉夊 yh
酹	酉寸 yk
醅	酉口 yd
采	爫木 ye
里	里 dl
重	千里 ld
鑒	臣金 qz
铠	钅己 zv
锅	钅人 zj
锊	钅寸 zk
锦	钅巾 zr
锫	钅口 zd
锱	钅田 zq
锸	钅臼 zp
锼	钅又 zr
镈	钅寸 zk
镌	钅乃 zv
镍	钅木 ze
镢	钅欠 ze
镣	钅小 zy
镯	钅虫 zc
镵	钅兔 zw
闪	门人 aj
问	门口 ad
间	门日 ao
闷	门心 ah
闻	门耳 aq
闽	门虫 ac
阉	门乚 aa
阎	门臼 ap
阒	门犬 am
阖	门皿 aa
阙	门欠 ae
陛	阝土 tg
陧	阝土 tg
陪	阝口 td
陵	阝夊 th
陶	阝缶 ta
陷	阝臼 tp
随	阝辶 tu
隼	隹十 un
集	隹木 ue
霞	⻗又 tr
霹	⻗辛 tn
青	龶⺝ av
靠	⺧非 qr
靡	麻非 zr
靥	厂面 xb
革	革 tg
鞠	革米 tp
鞲	革土 tg
韂	革言 ts
韬	韦臼 gp
顶	丁页 aw
顸	干页 ew
项	工页 uw
颃	亠页 zw
颍	匕页 vw
颖	匕页 vw
题	日页 ow
颚	口页 dw
颦	止十 sn
飒	立乂 ib
飕	⺇又 or
飙	犬乂 mb
馅	饣臼 qp
馊	饣又 qr
馞	禾子 xh
马	马 nm
驺	马彐 nb
骂	口马 dn
骏	马夊 nh
骘	阝马 tn
骙	马大 nm
骚	马虫 nc
骛	予马 in
骜	龶马 an
骞	宀马 wn
骣	马子 nh
骥	马八 nh
髑	骨虫 fc
髓	骨辶 fu
鬯	匕 pv
鬼	鬼 ag
魂	云鬼 ba
魄	白鬼 ua
魇	厂鬼 xa
魔	麻鬼 za
鲎	⺍鱼 kw
鲞	丷鱼 hw
鲮	鱼夊 wh
鲻	鱼田 wq
鳌	龶鱼 aw
鳖	㡀鱼 fw
鳜	鱼欠 we
鸡	又鸟 rx
鸢	弋鸟 px
鸭	甲鸟 sx
鸳	夕鸟 lx
鸺	亻鸟 jx
鸿	氵鸟 kx
鹁	十鸟 nx
鹃	口鸟 dx
鹜	予鸟 ix
鹨	羽鸟 zx
鹩	大鸟 mx
鹬	予鸟 ix
鹰	广鸟 xx
黉	⺍黄 kn
黡	厂黑 xp
鼓	支 hc
龢	侖禾 jx
侨	亻 jp
勠	羽力 zs
圫	土七 gr
奉	 au
娇	女 bp
媪	女皿 ba
峤	山 vp
嶅	龶山 av
嶦	山言 vs
廪	广示 xf
弆	土廾 gl
憨	乛心 ah
懔	忄示 hf
掖	扌 uv
摏	扌臼 up
斟	斗 zj
栎	木小 ey
桥	木 ep
榃	木田 eq
榱	木一 ef
橑	木小 ey
歅	覀欠 ve
殁	歹殳 gr
毖	丿 vt
浡	氵子 kh
液	氵 kv
潖	氵巴 km
潩	氵八 kh
瀔	氵殳 kr
熻	火羽 cz
珕	王力 ns
甕	亠瓦 zr
矫	矢 op
砄	石人 mj
硙	石己 mv
硚	石 mp
稂	禾艮 xi
稌	禾 xx
窎	穴鸟 ex
簝	⺮小 ry
缞	纟一 if
腋	月 vv
臩	臣 qp
良	丶艮 ii
茔	艹土 lg
茕	艹十 ln
荞	艹 lp
荥	艹水 lk
荮	艹寸 lk
蓑	艹一 lf
螋	虫又 cr
裛	衣巴 tm
觇	⺊见 ye
觏	见 qe
觑	虍见 ze
觿	⺈口 xd
诇	讠口 sd
谡	讠夊 sh
谪	讠古 sc
赝	厂贝 xo
赡	贝言 os
轿	 yp
辔	纟口 id
酅	山阝 vt
鉴	〢金 pz
钹	钅丶 zi
铄	钅小 zy
镝	钅古 zc
阕	门大 am
面	面 bm
鞒	革 tp
鞳	革口 td
韫	韦皿 ga
餐	歺食 gq
饽	饣子 qh
馌	饣皿 qa
骄	马 np
骢	马心 nh
鲺	鱼虫 wc
鲾	鱼田 wq
鳛	鱼白 wu
鳠	鱼又 wr
鹌	大鸟 mx
鹐	⺈鸟 xx
鹗	口鸟 dx
鹠	鸟 bx
鼹	鼠女 pb
齇	自且 of
齑	齐一 qf
鿍	土㐄 gv
㫰	日艮 oi
事	一 fb
伣	亻见 je
俍	亻艮 ji
勘	力 zs
哏	口艮 di
垠	土艮 gi
埌	土艮 gi
娘	女艮 bi
娠	女辰 bf
宸	宀辰 wf
岘	山见 ve
崀	山艮 vi
帮	巾 ar
很	彳艮 wi
徐	彳 wx
恨	忄艮 hi
悢	忄艮 hi
戠	音戈 xp
戡	戈 zp
振	扌辰 uf
揽	扌见 ue
搅	扌见 ue
晨	日辰 of
枧	木见 ee
根	木艮 ei
桹	木艮 ei
梌	木 ex
榄	木见 ee
欺	欠 ze
比	匕 vv
浪	氵艮 ki
涂	氵 kx
滁	氵 kx
瀱	氵刂 kp
烺	火艮 ci
燄	⺈火 xc
燅	土火 gc
狠	犭艮 mi
狳	犭 mx
狼	犭艮 mi
现	王见 ne
珢	王艮 ni
琅	王艮 ni
痕	疒艮 ai
皆	白 vu
监	〢皿 pa
眼	目艮 qi
砚	石见 me
硍	石艮 mi
稚	禾隹 xu
窩	穴口 ed
窪	穴土 eg
竅	穴攵 eh
笕	⺮见 re
筤	⺮艮 ri
粮	米艮 pi
缆	纟见 ie
舰	舟见 ie
艅	舟 ix
艰	又艮 ri
苋	艹见 le
茛	艹艮 li
荼	艹 lx
莨	艹艮 li
蒗	艹艮 li
虞	虍大 zm
蚬	虫见 ce
蜍	虫 cx
蠢	虫 ac
裉	衤艮 ti
觋	工见 ue
觌	十见 ne
觎	亼见 je
觐	廿见 le
誊	丷言 hs
豔	山皿 va
赈	贝辰 of
跟	⻊艮 pi
踉	⻊艮 pi
途	人辶 ju
酴	酉 yx
酿	酉艮 yi
银	钅艮 zi
锒	钅艮 zi
镴	钅 zp
阆	门艮 ai
限	阝艮 ti
除	阝 tx
雠	隹隹 uu
震	⻗辰 tf
饕	口食 dq
髋	骨见 fe
鴆	冖鳥 wx
鸵	鸟匕 xv
鹮	罒鸟 yx
鹱	鸟又 xr
齎	齊貝 qo
龈	齿艮 li
𬒈	⺍石 km
𬶨	鱼 iw
㑊	亻 jc
㸌	火隹 cu
丝	纟纟 ii
争	⺈ xb
伞	人十 jn
傕	亻隹 ju
傩	亻隹 ju
催	亻隹 ju
净	冫 wb
准	冫隹 wu
唯	口隹 du
嚯	口隹 du
域	土㇀ gf
堆	土隹 gu
峥	山 vb
崔	山隹 vu
崡	山凵 vm
帷	巾隹 ru
怿	忄 hu
惟	忄隹 hu
或	戈㇀ pf
择	扌 uu
挣	扌 ub
推	扌隹 uu
摊	扌隹 uu
摧	扌隹 uu
暹	日辶 ou
棫	木㇀ ef
椎	木隹 eu
榷	木隹 eu
殛	歹一 gf
泽	氵 ku
涵	氵凵 km
淮	氵隹 ku
滩	氵隹 ku
漼	氵隹 ku
潍	氵隹 ku
灌	氵隹 ku
煺	火辶 cu
狰	犭 mb
琟	王隹 nu
琤	王 nb
璀	王隹 nu
瓘	王隹 nu
瘫	疒隹 au
睁	目 qb
睢	目隹 qu
碓	石隹 mu
竫	立 ib
筝	⺮ rb
绎	纟 iu
维	纟隹 iu
罐	缶隹 au
翟	羽隹 zu
聼	乛心 ah
腿	月辶 vu
菡	艹凵 lm
萑	艹隹 lu
蔺	艹隹 lu
藿	艹隹 lu
蜈	虫大 cm
蜮	虫㇀ cf
褪	衤辶 tu
译	讠 su
诤	讠 sb
谁	讠隹 su
迹	亠辶 zu
退	艮辶 iu
郫	白阝 ut
铎	钅 zu
铮	钅 zb
锥	钅隹 zu
阈	门㇀ af
难	又隹 ru
雁	厂隹 xu
雇	户隹 mu
雉	矢隹 ou
雊	句隹 gu
雌	隹 su
雍	亠隹 zu
雒	各隹 su
雕	⺆隹 mu
霍	⻗隹 tu
静	龶 ab
馘	䒑㇀ hf
驿	马 nu
骓	马隹 nu
骤	马 nk
魋	鬼隹 au
鸶	纟鸟 ix
鹎	白鸟 ux
黔	 pa
黪	黑彡 pe
䅟	禾彡 xe
䝙	豸㐅 mb
一	一 fi
丌	丌 lc
与	一一 ff
丏	一㇆ fa
丐	一ㄅ fa
业	业 cy
丽	一 fv
之	之 ri
乌	乌 xu
乎	丿 tn
乏	丿之 tr
乜	㇆乚 aa
九	九 kj
也	也 ey
乸	也母 ek
亚	一业 fc
凸	一 vf
凹	一 mf
凿	业凵 cm
刁	㇆㇀ af
勺	勹丶 ni
匈	勹凵 nm
匍	勹甫 nn
匡	匚王 nn
匣	匚甲 ns
匦	匚九 nk
匪	匚非 nr
匮	匚贝 no
匹	匸儿 np
区	匸㐅 nb
医	匸矢 no
匼	匸口 nd
匾	匸 ni
匿	匸口 nd
升	丿廾 tl
卜	卜 yb
叵	匚口 nd
噩	王口 nd
囊	十 nt
少	𡭔丿 yt
屯	一 fs
川	川 oc
工	工 ug
幻	幺㇆ ia
引	弓丨 bg
弛	弓也 be
张	弓长 bp
弧	弓瓜 by
彪	虎彡 ze
恖	丿心 th
斤	斤 tj
枣	木⺀ ew
梁	氵木 ke
毛	毛 vm
毳	毛毛 vv
氏	氏 bs
永	丶 ik
求	一丶 fi
焏	了灬 rc
爪	爪 ya
牂	爿羊 ag
牙	牙 ly
瓜	瓜 yg
瓦	瓦 rw
瓯	匸瓦 nr
瓽	瓦 sr
甪	丿用 tt
甫	甫 nf
甭	不用 ct
画	一凵 fm
疆	弓一 bf
疍	疋一 tf
登	癶豆 hz
禹	丿⽱ tv
秀	禾乃 xv
种	禾丨 xg
科	禾斗 xj
秒	禾丿 xt
秘	禾丿 xt
秫	禾丶 xi
秬	禾コ xn
秭	禾𠂔 xt
秾	禾 xt
稼	禾豕 xj
穆	禾彡 xe
羌	⺶乚 ga
群	羊 bg
臿	千臼 lp
苘	艹口 ld
虐	虍 zb
虚	虍业 zc
衃	丿不 tc
衆	丿 tk
袬	衣口 td
豒	山𢎨 vt
豓	山皿 va
豹	豸丶 mi
豺	豸丿 mt
貆	豸一 mf
身	身 zs
躬	身弓 zb
躯	身㐅 zb
长	长 pc
韭	非一 rf
飞	飞 cf
馝	禾丿 xt
髢	镸也 pe
鵆	行鳥 px
默	犬 pm
黜	凵 pm
黝	力 ps
黟	夕 pl
黠	口 pd
黢	夊 ph
黥	小 py
黩	大 pm
黯	音 px
鼐	乃 va
齏	齊一 qf
㛚	女 bt
㠇	山尤 vo
㠓	山豕 vj
㧟	扌匚 un
㮾	丶木 ie
㳚	氵丶 ki
㶲	火用 ct
㻬	王ㄅ na
䏝	月丶 vi
䏲	月𢎨 vt
䜣	讠斤 st
䥽	钅丶 zi
丈	一 fb
且	且 fq
丙	一人 fj
两	两 ml
么	丿厶 tk
乱	舌乚 aa
亍	亍 wc
亶	亠一 zf
亿	亻乙 ja
仆	亻卜 jy
仇	亻九 jk
仍	亻乃 jv
他	亻也 je
仗	亻 jb
仞	亻丶 ji
仡	亻乙 ja
仲	亻丨 jg
价	亻 jp
任	亻士 jg
伊	亻丿 jt
伋	亻及 jc
优	亻尤 jo
伛	亻㐅 jb
伟	亻韦 jg
传	亻丶 ji
伢	亻牙 jl
伥	亻长 jp
伫	亻一 jf
伸	亻丨 jg
伾	亻一 jf
但	亻一 jf
低	亻丶 ji
体	亻一 jf
佛	亻弗 jt
佟	亻⺀ jw
佣	亻用 jt
佤	亻瓦 jr
佥	亼一 jf
佯	亻羊 jg
佻	亻 jw
侃	亻 jo
侉	亻ㄅ ja
侪	亻齐 jq
侬	亻 jt
侮	亻母 jk
俄	亻戈 jp
俅	亻丶 ji
俑	亻 jt
俪	亻 jv
修	亻彡 je
俵	亻 jt
俸	亻 ju
倌	亻㠯 jk
倴	亻廾 jl
偈	亻亾 jf
偡	亻㇗ ja
偶	亻⽱ jv
像	亻象 jw
僦	亻尤 jo
僰	木人 ej
僵	亻一 jf
儴	亻一 jf
兔	兔 wt
兕	儿 mp
兮	八ㄅ ha
兵	 th
写	冖一 wf
冤	冖兔 ww
冬	夂⺀ hw
冱	冫彑 wb
冲	冫丨 wg
减	冫口 wd
凘	冫斤 wt
凳	癶几 ho
刃	刀丶 pi
刨	勹刂 np
刭	ス刂 rp
到	至刂 yp
刺	木刂 ep
剅	豆刂 zp
剌	束刂 xp
剕	非刂 rp
办	力八 sh
劢	一力 fs
劣	𡭔力 ys
劲	ス力 rs
勾	勹厶 nk
匀	勹冫 nw
包	勹巳 nv
协	十八 nh
卞	亠卜 zy
卟	口卜 dy
占	⺊口 yd
卢	⺊尸 yc
卦	土卜 gy
卮	⺁⺋ xz
厮	厂斤 xt
参	厶彡 ke
反	⺁又 xr
叔	⺊又 yr
叫	口丩 di
号	口ㄅ da
叼	口㇀ df
吃	口乙 da
后	⺁口 xd
吏	一 fb
向	丿口 td
吓	口卜 dy
吖	口丨 dg
君	口 bd
吟	口 da
否	不口 cd
吨	口 ds
听	口斤 dt
吲	口丨 dg
吵	口丿 dt
吸	口及 dc
吼	口乚 da
呀	口牙 dl
呓	口乙 da
呔	口丶 di
呕	口㐅 db
呜	口乌 dx
呣	口母 dk
呱	口瓜 dy
呷	口甲 ds
呸	口一 df
呻	口丨 dg
呼	口 dn
咂	口巾 dr
咇	口丿 dt
和	禾口 xd
咏	口 dk
咔	口卜 dy
咙	口龙 dt
咚	口⺀ dw
咩	口羊 dg
咺	口一 df
咿	口丿 dt
哐	口王 dn
哑	口业 dc
哝	口 dt
哟	口丶 di
哢	口廾 dl
哦	口戈 dp
哳	口斤 dt
哺	口甫 dn
哼	口了 dr
唪	口 du
啭	口丶 di
啮	口齿 dl
喁	口⽱ dv
喊	口口 dd
喝	口亾 df
喧	口一 df
喳	口一 df
嗝	口鬲 dn
嗨	口母 dk
嘘	口业 dc
嘭	口彡 de
嘱	口⽱ dv
嘶	口斤 dt
噎	口豆 dz
噔	口豆 dz
噶	口亾 df
嚎	口豕 dj
囔	口 dt
团	囗丿 rt
囤	囗 rs
围	囗韦 rg
图	囗⺀ rw
圃	囗甫 rn
圪	土乙 ga
圬	土ㄅ ga
地	土也 ge
圳	土川 go
场	土 ge
圻	土斤 gt
圾	土及 gc
坉	土 gs
坏	土不 gc
坚	〢土 pg
坞	土乌 gx
坤	土丨 gg
坦	土一 gf
坬	土瓜 gy
坯	土一 gf
坻	土丶 gi
坼	土丶 gi
垏	土聿 gb
垕	⺁土 xg
垟	土羊 gg
垣	土一 gf
垩	一土 fg
垭	土业 gc
垮	土ㄅ ga
垴	土凵 gm
垿	土予 gi
埆	土用 gt
埇	土 gt
城	土㇆ ga
埔	土甫 gn
埗	土 gs
堍	土兔 gw
堨	土亾 gf
堪	土㇗ ga
塆	土弓 gb
塥	土鬲 gn
塱	丶土 ig
墉	土 gt
墘	土乙 ga
墟	土业 gc
墼	車土 yg
壑	土 gg
壕	土豕 gj
声	士 gc
壶	士业 gc
壸	士业 gc
壹	士豆 gz
处	夂卜 hy
外	夕卜 ly
太	大丶 mi
夭	丿大 tm
头	⺀大 wm
夸	大ㄅ ma
夼	大川 mo
奁	大㐅 mb
奘	爿大 am
奶	女乃 bv
她	女也 be
妁	女丶 bi
妊	女士 bg
妍	女廾 bl
妗	女 ba
妙	女丿 bt
妤	女予 bi
妪	女㐅 bb
妯	女由 bd
妲	女一 bf
姆	女母 bk
姊	女𠂔 bt
委	禾女 xb
姘	女廾 bl
姚	女 bw
姬	女 bq
姮	女一 bf
姱	女ㄅ ba
娅	女业 bc
娓	女毛 bv
娣	女𢎨 bt
娥	女戈 bp
娶	耳女 qb
婊	女 bt
婠	女㠯 bk
婳	女凵 bm
婶	女丨 bg
媭	彡女 eb
嫁	女豕 bj
嫭	女 bn
嬗	女一 bf
孔	子乚 ha
孕	乃子 vh
季	禾子 xh
孤	子瓜 hy
孬	不子 ch
孵	卵子 bh
宄	宀九 wk
宓	宀丿 wt
宙	宀由 wd
宠	宀龙 wt
审	宀丨 wg
宣	宀一 wf
宦	宀臣 wq
宧	宀 wq
宬	宀㇆ wa
家	宀豕 wj
寒	宀⺀ ww
寓	宀⽱ wv
小	小 yx
尖	小大 ym
尜	小小 yy
尥	尢丶 oi
尬	尢 op
就	尤 go
尻	尸九 ck
尽	尸⺀ cw
尾	尸毛 cv
屉	尸㇗ ca
届	尸由 cd
屏	尸廾 cl
属	尸⽱ cv
屹	山乙 va
屿	山一 vf
岈	山牙 vl
岌	山及 vc
岍	山廾 vl
岑	山 va
岖	山㐅 vb
岠	山コ vn
岫	山由 vd
岬	山甲 vs
岷	山民 vd
峂	山⺀ vw
峘	山一 vf
峨	山戈 vp
島	山 xv
崟	山金 vz
崭	山斤 vt
崴	山女 vb
崿	山ㄅ va
嵁	山㇗ va
嵅	山口 vd
嵇	禾山 xv
嵎	山⽱ vv
嵖	山一 vf
嶙	山㐄 vv
嶝	山豆 vz
巜	巜 oc
巡	巛辶 ou
巢	巛木 oe
巧	工ㄅ ua
巩	工丶 ui
币	丿巾 tr
帆	巾丶 ri
帏	巾韦 rg
帐	巾长 rp
帡	巾廾 rl
幪	巾豕 rj
序	广予 xi
应	广一 xf
底	广丶 xi
庙	广由 xd
庞	广龙 xt
废	广丶 xi
庠	广羊 xg
庹	广㇏ xi
延	丿廴 tu
建	聿廴 bu
开	一廾 fl
弘	弓厶 bk
弟	丷𢎨 ht
弢	弓又 br
弥	弓小 by
弦	弓幺 bi
弨	弓口 bd
弩	女弓 bb
弭	弓耳 bq
弱	弓冫 bw
弶	弓小 by
弸	弓月 bv
弹	弓十 bn
强	弓虫 bc
形	一彡 fe
彤	⺆彡 me
彩	爫彡 ye
彰	音彡 xe
影	日彡 oe
徉	彳羊 wg
律	彳聿 wb
忆	忄乙 ha
忐	⺊心 yh
忑	一心 fh
忙	忄亡 hf
忡	忄丨 hg
忧	忄尤 ho
忭	忄卜 hy
忳	忄 hs
忻	忄斤 ht
怀	忄不 hc
怄	忄㐅 hb
怅	忄长 hp
怛	忄一 hf
怫	忄弗 ht
怵	忄丶 hi
恒	忄一 hf
恶	一心 fh
恼	忄凵 hm
悈	忄廾 hl
悌	忄𢎨 ht
悔	忄母 hk
悬	且心 fh
惘	忄亡 hf
惨	忄彡 he
惭	忄斤 ht
愁	禾心 xh
愃	忄一 hf
愍	民心 dh
慌	忄 ho
慝	匸心 nh
慭	未心 ah
慵	忄 ht
憕	忄豆 hz
戒	戈廾 pl
战	⺊戈 yp
戤	乃戈 vp
戬	一戈 fp
戽	户斗 mj
才	丿 nt
扎	扌乚 ua
扑	扌卜 uy
扔	扌乃 uv
执	扌丶 ui
扬	扌 ue
扰	扌尤 uo
扺	扌氏 ub
扽	扌 us
抄	扌丿 ut
抒	扌予 ui
抓	扌爪 uy
抔	扌不 uc
抖	扌斗 uj
折	扌斤 ut
抟	扌丶 ui
抠	扌㐅 ub
抵	扌丶 ui
抻	扌丨 ug
押	扌甲 us
抽	扌由 ud
抿	扌民 ud
拂	扌弗 ut
担	扌一 uf
拆	扌丶 ui
拇	扌母 uk
拒	扌コ un
拖	扌也 ue
拢	扌龙 ut
拤	扌卜 uy
拥	扌用 ut
拨	扌丶 ui
拯	扌一 uf
拷	扌ㄅ ua
拼	扌廾 ul
拽	扌丿 ut
拿	亼手 ju
挈	丰手 au
挎	扌ㄅ ua
挑	扌 uw
挚	扌手 uu
挤	扌齐 uq
挲	氵手 ku
捅	扌 ut
捕	扌甫 un
捧	扌 uu
掣	牛手 qu
掺	扌彡 ue
揕	扌㇗ ua
揭	扌亾 uf
揸	扌一 uf
搀	扌⺀ uw
搿	手手 uu
摒	扌廾 ul
撑	扌手 uu
撕	扌斤 ut
撺	扌丨 ug
擅	扌一 uf
擎	艹手 lu
擤	扌丌 ul
攞	扌隹 uu
攮	扌 ut
政	一攵 fh
救	一攵 fh
敷	甫攵 nh
斀	罒攴 yh
斐	非文 rv
斓	文丷 vh
斗	斗 jd
料	米斗 pj
斛	⺈斗 xj
斜	人斗 jj
斫	石斤 mt
新	立斤 it
於	方⺀ lw
施	方也 le
旄	方毛 lv
旐	方 lw
旒	方 lo
旦	日一 of
旧	丨日 go
旮	九日 ko
旯	日九 ok
旸	日 oe
昇	日廾 ol
昏	氏日 bo
昕	日斤 ot
昣	日彡 oe
昶	丶日 io
昼	尸一 cf
昽	日龙 ot
显	日业 oc
晁	日 ow
晅	日一 of
晟	日㇆ oa
晡	日甫 on
晦	日母 ok
晰	日斤 ot
暄	日一 of
暅	日一 of
暕	日丷 oh
曁	白一 uf
曷	曰亾 of
朓	月 vw
朗	丶月 iv
朦	月豕 vj
札	木乚 ea
术	木丶 ei
朴	木卜 ey
朽	木ㄅ ea
杈	木丶 ei
杉	木彡 ee
材	木丿 et
杓	木丶 ei
杖	木 eb
杧	木亡 ef
杨	木 ee
杪	木丿 et
杯	木不 ec
杼	木予 ei
极	木及 ec
枅	木廾 el
枍	木ㄅ ea
析	木斤 et
枢	木㐅 eb
枨	木长 ep
枵	木ㄅ ea
柊	木⺀ ew
柙	木甲 es
柚	木由 ed
柜	木コ en
柝	木丶 ei
柢	木丶 ei
查	木一 ef
柩	木丶 ei
栊	木龙 et
栐	木 ek
栟	木廾 el
栲	木ㄅ ea
样	木羊 eg
桁	木行 ep
桃	木 ew
框	木王 en
桓	木一 ef
桠	木业 ec
桫	木丿 et
桶	木 et
桷	木用 et
梅	木母 ek
梟	木 xe
梨	禾木 xe
梯	木𢎨 et
械	木廾 el
梳	木 eo
棐	非木 re
棒	木 eu
棘	木冂 em
棺	木㠯 ek
椉	亠木 ze
椪	木业 ec
椸	木也 ee
椹	木㇗ ea
楂	木一 ef
楝	木丷 eh
楦	木一 ef
榉	木 eu
榧	木非 er
槲	木斗 ej
樾	木戉 en
橙	木豆 ez
橡	木象 ew
橼	木 ej
檀	木一 ef
檬	木豕 ej
櫆	木斗 ej
欤	一欠 fe
欧	匸欠 ne
正	一止 fs
步	止 ss
歪	不止 cs
殄	歹彡 ge
殇	歹 ge
殪	歹豆 gz
殴	匸殳 nr
毒	龶母 ak
毓	𠂉 eo
毡	毛口 vd
毯	毛火 vc
毵	厶毛 kv
毹	亼毛 jv
毽	毛廴 vu
氆	毛日 vo
氇	毛日 vo
氓	亡民 fd
氕	气丿 vt
氖	气乃 vv
氚	气川 vo
氟	气弗 vt
氡	气⺀ vw
氧	气羊 vg
氩	气业 vc
氿	氵九 kk
汇	氵匚 kn
汈	氵㇀ kf
汊	氵丶 ki
汋	氵丶 ki
汔	氵乙 ka
池	氵也 ke
污	氵ㄅ ka
汤	氵 ke
汧	氵廾 kl
汫	氵井 kq
汰	氵丶 ki
汲	氵及 kc
汴	氵卜 ky
汹	氵凵 km
沂	氵斤 kt
沌	氵 ks
沙	氵丿 kt
沤	氵㐅 kb
沭	氵丶 ki
沸	氵弗 kt
油	氵由 kd
泄	氵㇗ ka
泌	氵丿 kt
泛	氵之 kr
泜	氵丶 ki
泯	氵民 kd
泳	氵 kk
泷	氵龙 kt
泻	氵一 kf
泼	氵丶 ki
洋	氵羊 kg
洘	氵ㄅ ka
洢	氵丿 kt
津	氵聿 kb
洭	氵王 kn
洮	氵 kw
洲	氵川 ko
洴	氵廾 kl
洹	氵一 kf
洿	氵ㄅ ka
流	氵 ko
济	氵齐 kq
浐	氵厂 kx
浓	氵 kt
浕	氵⺀ kw
浙	氵斤 kt
浦	氵甫 kn
海	氵母 kk
涉	氵 ks
涌	氵 kt
涐	氵戈 kp
涔	氵 ka
涕	氵𢎨 kt
涠	氵韦 kg
涨	氵长 kp
涫	氵㠯 kk
淅	氵斤 kt
淤	氵⺀ kw
淦	氵金 kz
淫	氵士 kg
渐	氵斤 kt
渗	氵彡 ke
渣	氵一 kf
渲	氵一 kf
渴	氵亾 kf
湛	氵㇗ ka
湴	氵业 kc
湾	氵弓 kb
湿	氵业 kc
滆	氵鬲 kn
滏	氵 kz
滗	氵毛 kv
滚	氵厶 kk
滹	氵 kn
漭	氵廾 kl
漾	氵 kk
潾	氵㐄 kv
澄	氵豆 kz
澌	氵斤 kt
澎	氵彡 ke
澜	氵丷 kh
澶	氵一 kf
濞	氵丌 kl
濠	氵豕 kj
瀼	氵一 kf
灭	一火 fc
灸	火 xc
灼	火丶 ci
炀	火 ce
炌	火 cp
炒	火丿 ct
炖	火 cs
炘	火斤 ct
炜	火韦 cg
炟	火一 cf
炬	火コ cn
点	⺊灬 yc
烀	火 cn
烊	火羊 cg
烜	火一 cf
烝	乛灬 ac
烤	火ㄅ ca
烬	火⺀ cw
焉	一灬 fc
煁	火㇗ ca
煊	火一 cf
熙	灬 qc
燹	豕火 jc
爔	火戈 cp
爬	爪巴 ym
牁	爿可 az
版	片又 ar
牌	片十 an
牍	片大 am
牤	牜亡 qf
牦	牜毛 qv
犁	禾牛 xq
犟	弓牛 bq
犰	犭九 mk
犹	犭尤 mo
狉	犭一 mf
狎	犭甲 ms
狐	犭瓜 my
狒	犭弗 mt
猹	犭一 mf
猿	犭 mt
獴	犭豕 mj
玓	王丶 ni
玖	王㇏ ni
玙	王一 nf
玚	王 ne
玠	王 np
玡	王牙 nl
玮	王韦 ng
环	王不 nc
珅	王丨 ng
珉	王民 nd
珌	王丿 nt
珍	王彡 ne
珑	王龙 nt
珒	王聿 nb
珧	王 nw
珩	王行 np
珹	王㇆ na
球	王丶 ni
琇	王乃 nv
琉	王 no
琫	王 nu
琯	王㠯 nk
琴	王 na
瑀	王⽱ nv
瑄	王一 nf
瑓	王丷 nh
瑟	王丿 nt
璒	王豆 nz
